E_i	M_i
-1.97	0.995
-1.99	1
-1.97	0.995
-1.96	0.99
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.96	0.99
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.97	0.995
-1.99	1
-1.95	0.99
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.99	1
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.97	0.995
-1.99	1
-1.99	1
-1.99	1
